@relation estimated-bycatch-refined-and-temperature-merged

@attribute year numeric
@attribute Bycatch_tonnes numeric
@attribute Fishery {Hoki_HOK,Southern_blue_whiting_SBW,Squid_SQU,Jack_mackerel_JMA,Ling_longline_LLL,Orange_roughy_ORH,Oreo_OEO,Scampi_SCI}
@attribute Mean_Temp numeric
@attribute Area {Map,Tasman,STW,SAW}

@data
2008,18264,Hoki_HOK,9.61252,SAW
2008,3790,Scampi_SCI,14.5632,Map
2008,265,Southern_blue_whiting_SBW,15.581,Tasman
2008,13013,Jack_mackerel_JMA,17.7828,STW
2008,2452,Ling_longline_LLL,9.61252,SAW
2008,561,Orange_roughy_ORH,14.5632,Map
2008,472,Oreo_OEO,15.581,Tasman
2008,4756,Squid_SQU,17.7828,STW
2009,15049,Hoki_HOK,9.46809,SAW
2009,2900,Scampi_SCI,14.5427,Map
2009,188,Southern_blue_whiting_SBW,15.5652,Tasman
2009,7050,Jack_mackerel_JMA,17.8449,STW
2009,20450,Ling_longline_LLL,9.46809,SAW
2009,1600,Orange_roughy_ORH,14.5427,Map
2009,4170,Oreo_OEO,15.5652,Tasman
2010,16178,Hoki_HOK,17.8449,STW
2010,3290,Scampi_SCI,9.98569,SAW
2010,193,Southern_blue_whiting_SBW,14.7388,Map
2010,8520,Jack_mackerel_JMA,15.7705,Tasman
2010,22250,Ling_longline_LLL,17.8777,STW
2010,480,Orange_roughy_ORH,9.98569,SAW
2010,7520,Oreo_OEO,14.7388,Map
2011,16889,Hoki_HOK,15.7705,Tasman
2011,1027,Scampi_SCI,17.8777,STW
2011,16860,Southern_blue_whiting_SBW,9.82353,SAW
2011,3310,Jack_mackerel_JMA,14.4536,Map
2011,11650,Ling_longline_LLL,15.5046,Tasman
2011,730,Orange_roughy_ORH,18.0246,STW
2011,9050,Oreo_OEO,9.96002,SAW
2012,14181,Hoki_HOK,14.7561,Map
2012,963,Scampi_SCI,15.5158,Tasman
2012,15710,Southern_blue_whiting_SBW,17.8615,STW
2012,3320,Jack_mackerel_JMA,9.96002,SAW
2012,27220,Ling_longline_LLL,14.7561,Map
2012,630,Orange_roughy_ORH,15.5158,Tasman
2012,5310,Oreo_OEO,17.8615,STW
