X,Y,id,modified,language,bibliographicCitation,institutionCode,datasetName,basisOfRecord,dynamicProperties,source,catalogNumber,occurrenceRemarks,sex,lifeStage,occurrenceStatus,associatedTaxa,eventID,samplingProtocol,eventDate,year,fieldNumber,waterBody,country,stateProvince,county,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,identifiedBy,typeStatus,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,FID
174.79,-36.26,711,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-711 L.12 Bodianus unimaculatus,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:273545,Bodianus unimaculatus,Animalia,Chordata,Actinopteri,Perciformes,Labridae,Bodianus,,unimaculatus,,"(Günther, 1862)",2707
174.79,-36.26,258,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-258 L.12 Caesioperca lepidoptera,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280011,Caesioperca lepidoptera,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Caesioperca,,lepidoptera,,"(Forster, 1801)",2708
174.79,-36.26,320,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-320 L.12 Callanthias australis,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:273152,Callanthias australis,Animalia,Chordata,Actinopteri,Perciformes,Callanthiidae,Callanthias,,australis,,"Ogilby, 1899",2709
174.79,-36.26,271,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-271 L.12 Caprodon longimanus,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280030,Caprodon longimanus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Caprodon,,longimanus,,"(Günther, 1859)",2710
174.79,-36.26,176,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-176 L.12 Centroberyx affinis,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:276891,Centroberyx affinis,Animalia,Chordata,Actinopteri,Beryciformes,Berycidae,Centroberyx,,affinis,,"(Günther, 1859)",2711
174.79,-36.26,606,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-606 L.12 Cheilodactylus spectabilis,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:311551,Cheilodactylus spectabilis,Animalia,Chordata,Actinopteri,Perciformes,Cheilodactylidae,Cheilodactylus,,spectabilis,,"Hutton, 1872",2712
174.79,-36.26,556,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-556 L.12 Chironemus marmoratus,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280158,Chironemus marmoratus,Animalia,Chordata,Actinopteri,Perciformes,Chironemidae,Chironemus,,marmoratus,,"Günther, 1860",2713
174.79,-36.26,665,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-665 L.12 Chromis dispilus,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:273720,Chromis dispilus,Animalia,Chordata,Actinopteri,Perciformes,Pomacentridae,Chromis,,dispilus,,"Griffin, 1923",2714
174.79,-36.26,681,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-681 L.12 Chromis hypsilepis,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:273730,Chromis hypsilepis,Animalia,Chordata,Actinopteri,Perciformes,Pomacentridae,Chromis,,hypsilepis,,"(Günther, 1867)",2715
174.79,-36.26,104,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-104 L.12 Conger wilsoni,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:217546,Conger wilsoni,Animalia,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,,wilsoni,,"(Bloch & Schneider, 1801)",2716
