X,Y,OBJECTID,MONTH,YEAR,LOCALITY,NUMBER,NAME
175.012612978668159,-40.877559517310395,3001,8,1961,Waikanae River, ,Longfin eel 
175.012612978668159,-40.877559517310395,3002,8,1961,Waikanae River, ,Shortfin eel 
175.012612978668159,-40.877559517310395,3003,8,1961,Waikanae River, ,Inanga 
175.012612978668159,-40.877559517310395,3004,8,1961,Waikanae River, ,Common bully
175.229630403615573,-40.872673761693086,3005,2,1990,Waiotauru River, ,Torrentfish 
175.229630403615573,-40.872673761693086,3006,2,1990,Waiotauru River, ,Redfin bully 
175.229630403615573,-40.872673761693086,3007,2,1990,Waiotauru River, ,Longfin eel 
175.229600271564806,-40.871773517725074,3008,2,1965,Waiotauru River, ,Redfin bully 
175.229600271564806,-40.871773517725074,3009,2,1965,Waiotauru River, ,Brown trout 
175.229600271564806,-40.871773517725074,3010,2,1965,Waiotauru River, ,Torrentfish 
175.020803404769907,-40.875272592006596,3011,7,2006,Waikanae River tributary, ,Shortfin eel 
175.020803404769907,-40.875272592006596,3012,7,2006,Waikanae River tributary,     1,Common bully
175.020803404769907,-40.875272592006596,3013,7,2006,Waikanae River tributary, ,Common smelt 
175.177278581562888,-40.723232397154199,3014,1,2002,Lake Waitawa, ,Common bully
175.177278581562888,-40.723232397154199,3015,1,2002,Lake Waitawa, ,Unidentified eel 
175.174882565504078,-40.722376737449402,3016,4,1996,Lake Waitawa, ,Rudd
175.174882565504078,-40.722376737449402,3017,4,1996,Lake Waitawa,     1,Perch 
175.174882565504078,-40.722376737449402,3018,4,1996,Lake Waitawa, ,Rudd
175.175652531841934,-40.721659550444258,3019,7,2006,Lake Waitawa,    12,Perch 
175.175652531841934,-40.721659550444258,3020,7,2006,Lake Waitawa, ,Shortfin eel 
175.175652531841934,-40.721659550444258,3021,7,2006,Lake Waitawa,     3,Tench 
175.175652531841934,-40.721659550444258,3022,7,2006,Lake Waitawa,     3,Rudd
175.175652531841934,-40.721659550444258,3023,7,2006,Lake Waitawa,     1,Common bully
175.174824643995834,-40.72023378999458,3024,7,2006,Lake Waitawa,     5,Perch 
175.174824643995834,-40.72023378999458,3025,7,2006,Lake Waitawa, ,Shortfin eel 
175.174824643995834,-40.72023378999458,3026,7,2006,Lake Waitawa,     3,Tench 
175.174824643995834,-40.72023378999458,3027,7,2006,Lake Waitawa,     5,Rudd
175.174824643995834,-40.72023378999458,3028,7,2006,Lake Waitawa, ,Common bully
176.216943890692875,-40.687938930684702,3029,2,2007,Pakowhai River tributary, ,Koaro 
176.216943890692875,-40.687938930684702,3030,2,2007,Pakowhai River tributary, ,Unidentified eel 
176.216943890692875,-40.687938930684702,3031,2,2007,Pakowhai River tributary, ,Koura
175.142585530357309,-40.712170934557292,3032,3,2002,Lake Waiorongomai,     4,Longfin eel 
175.142585530357309,-40.712170934557292,3033,3,2002,Lake Waiorongomai,    10,Common bully
175.140190336046174,-40.711314553880378,3034,7,1999,Waiorongomai Stream,    12,Goldfish 
175.020803404769907,-40.875272592006596,3035,7,2006,Waikanae River tributary,     4,Brown trout 
175.020803404769907,-40.875272592006596,3036,7,2006,Waikanae River tributary,     1,Unidentified flounder 
175.020803404769907,-40.875272592006596,3037,7,2006,Waikanae River tributary, ,Yelloweyed mullet 
175.014279334666924,-40.875368566020775,3038,7,2006,Waikanae River, ,Shortfin eel 
175.014279334666924,-40.875368566020775,3039,7,2006,Waikanae River, ,Common bully
175.014279334666924,-40.875368566020775,3040,7,2006,Waikanae River,     1,Unidentified flounder 
175.005387613289486,-40.874082071616016,3041,2,1964,Waikanae River estuary, ,Yelloweyed mullet 
175.005387613289486,-40.874082071616016,3042,2,1964,Waikanae River estuary, ,Inanga 
175.005387613289486,-40.874082071616016,3043,2,1964,Waikanae River estuary, ,Lamprey 
175.005387613289486,-40.874082071616016,3044,2,1964,Waikanae River estuary, ,Bluegill bully 
175.005387613289486,-40.874082071616016,3045,2,1964,Waikanae River estuary, ,Torrentfish 
175.005387613289486,-40.874082071616016,3046,2,1964,Waikanae River estuary, ,Common smelt 
175.005387613289486,-40.874082071616016,3047,2,1964,Waikanae River estuary, ,Giant bully 
175.490379584739173,-40.863746326745002,3048,2,2002,Waingawa River,     1,Brown trout 
175.490379584739173,-40.863746326745002,3049,2,2002,Waingawa River,    25,Redfin bully 
175.490379584739173,-40.863746326745002,3050,2,2002,Waingawa River,     7,Longfin eel 
175.490379584739173,-40.863746326745002,3051,2,2002,Waingawa River,     7,Unidentified eel 
176.24174946387032,-40.843347077835809,3052,3,1984,Okau Stream, ,Common bully
176.24174946387032,-40.843347077835809,3053,3,1984,Okau Stream, ,Inanga 
176.24174946387032,-40.843347077835809,3054,3,1984,Okau Stream, ,Longfin eel 
176.24174946387032,-40.843347077835809,3055,3,1984,Okau Stream, ,Shortfin eel 
176.24174946387032,-40.843347077835809,3056,7,1962,Okau Stream, ,Redfin bully 
176.24174946387032,-40.843347077835809,3057,7,1962,Okau Stream,     2,Common bully
176.24174946387032,-40.843347077835809,3058,7,1962,Okau Stream,     4,Inanga 
176.24174946387032,-40.843347077835809,3059,7,1962,Okau Stream, ,Shortfin eel 
174.903303576293411,-40.873107921132529,3060,6,1981,Kaiwharawhara Stream,     7,Longfin eel 
174.903303576293411,-40.873107921132529,3061,6,1981,Kaiwharawhara Stream,     6,Banded kokopu 
175.689444245172751,-40.856587429653217,3062,3,1981,Kopuaranga River,     5,Crans bully 
175.689444245172751,-40.856587429653217,3063,3,1981,Kopuaranga River,     8,Shortfin eel 
